label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,rms,spectral_centroid
BS11,03 - Bob Dylan & The Band - Roll On Train.wav,1bd4b8504493725f086f8bf3e6f6857e,1,3,120.24,02:00:239,-16.079546912718325,0.15458548069000244,1933.5155517442133
CAR,01-03-Bob_Dylan-Roll_on_Train-SMR.flac,dc76fd4ab33f750f8f83d6b5430b1e89,1,3,120.203537414966,02:00:203,-16.076265350663103,0.1546262949705124,1780.9053379900154
