,BS11,CAR,ATWR,TGBT,FTR,FTR,CB
BS11,1.0,0.9999999,0.98913246,0.9917221,0.99932075,0.99187446,0.99941885
CAR,0.9999999,1.0,0.9891287,0.991724,0.99931884,0.9918762,0.9994176
ATWR,0.98913246,0.9891287,1.0,0.9966277,0.9881119,0.99669427,0.98939395
TGBT,0.9917221,0.991724,0.9966277,1.0000001,0.98928064,0.9999981,0.9904539
FTR,0.99932075,0.99931884,0.9881119,0.98928064,1.0,0.9894641,0.9999401
FTR,0.99187446,0.9918762,0.99669427,0.9999981,0.9894641,1.0,0.99061996
CB,0.99941885,0.9994176,0.98939395,0.9904539,0.9999401,0.99061996,1.0
