label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,19 - Bob Dylan & The Band - Come All Ye Fair And Tender Ladies.wav,bf68f1efcfe86d3d683254c4d382caf2,6,19,129.44,02:09:440,-18.701244722910364,-18.748049327234238,-18.112607134934912,-0.6354421922993261,0.11135287582874298,0.10974195599555969,0.12002438306808472,-0.010282427072525024,0.8753637368386303,1952.8052813799927
CAR,06-19-Bob_Dylan-Come_All_Ye_Fair_and_Tender_La-SMR.flac,5342ad9d036b7906e19f6b25573795e5,6,19,129.4407029478458,02:09:441,-18.701132829815514,-18.744810001492045,-18.109384909724177,-0.6354250917678677,0.1113555058836937,0.1097438633441925,0.12002719193696976,-0.010283328592777252,0.8753635442088369,1822.977334397792
ATWR,03 Come All Ye Fair And Tender Ladies.flac,accfbd999bf4c4b59a4bdca25b5c5a06,2,3,126.04,02:06:040,-16.673894527178824,-13.432072802085193,-15.15991509978464,1.727842297699448,0.14664708077907562,0.21052099764347076,0.1689484566450119,0.04157254099845886,0.16097702638919237,1574.5218753480742
SBD,08 Come All Ye Fair And Tender Ladies.flac,5bb4eb73159bfed53c6e6e9810412869,1,8,126.33333333333333,02:06:333,-14.746464313127879,-11.511327975933328,-13.212739286797738,1.70141131086441,0.18113726377487183,0.25999054312705994,0.20881934463977814,0.0511711984872818,0.16036861832958663,1563.2982804825876
FTR,09. Come All Ye Fair and Tender Ladies.flac,29fbebc043f50cf638f77ca76495a76f,2,9,159.06666666666666,02:39:067,-14.332479006036179,-10.187568693748668,-14.455945792136983,4.268377098388315,0.18506813049316406,0.2983846664428711,0.1707942634820938,0.12759040296077728,0.16287353600882434,1267.8534637276232
CB,10 Come All Ye Fair & Tender Maidens.flac,e9d5d222a359c342afdc6d8facadd4c9,2,10,126.56,02:06:560,-15.020922144683967,-11.584036960440717,-13.844504161049771,2.260467200609055,0.1781710982322693,0.26390230655670166,0.1960403472185135,0.06786195933818817,0.16104461718432092,1292.2917328179533
