label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,05 - Bob Dylan & The Band - Belshazzar.wav,eca2ab9fe9dd65c8dcb1795b05d9a7ee,1,5,202.30666666666667,03:22:307,-16.66691060195155,-16.663739101040026,-16.246824925237398,-0.4169141758026278,0.14315156638622284,0.14686186611652374,0.14512322843074799,0.0017386376857757568,0.911068715929029,1860.7614872379775
CAR,01-05-Bob_Dylan-Belshazzar-SMR.flac,cadaf4a8e94a563c05f377f10ebfc2a2,1,5,202.3026530612245,03:22:303,-16.667051504553147,-16.661886550308303,-16.24698706676681,-0.4148994835414932,0.1431567221879959,0.14686642587184906,0.14512892067432404,0.0017375051975250244,0.9110681503402316,1758.8347204788429
ATWR,10 Belchazaar.flac,0c9ad49d53574ad209ac8184455746d4,2,10,203.17333333333335,03:23:173,-19.31436388350157,-15.694887962355635,-16.05611561135221,0.3612276489965769,0.10563648492097855,0.15000832080841064,0.1567598283290863,-0.006751507520675659,-0.09970652212459179,1618.8169315785613
SBD,11 Belchezaar.flac,84ac4da11c6f24aeb86c9b715af3315d,1,11,186.90666666666667,03:06:907,-16.30522030059908,-12.753796965538855,-13.121334957176025,0.36753799163716927,0.15297764539718628,0.21476534008979797,0.23312050104141235,-0.01835516095161438,-0.10306376486211181,1563.1406426258316
TGBT,4-17 Belchezaar 1 And 2.flac,9678b57ed300541406b4a7479b306a3b,4,17,202.73333333333332,03:22:733,-28.96288926941749,-25.105435089461345,-26.009851749854597,0.9044166603932524,0.03505679965019226,0.05476569011807442,0.045765768736600876,0.008999921381473541,-0.08891194587792685,1573.5457395200688
FTR,01. Belchezaar 1 & 2.flac,22984d5b2cd12e63e023e138b8ff1b4b,3,1,205.72,03:25:720,-22.622833266160473,-19.412236630951718,-18.888208507981318,-0.5240281229703996,0.07210800051689148,0.1085072010755539,0.10410492867231369,0.004402272403240204,-0.11383272586955426,1183.3213592414095
FTR,19. Belchezaar.flac,cdedf0827bca199e175a4f2cd8d737ab,3,19,198.56,03:18:560,-28.952828762889293,-25.10175461076243,-26.009881130180798,0.9081265194183672,0.03575514629483223,0.05585771054029465,0.04667875915765762,0.009178951382637024,-0.08888558839556553,1472.7086133166024
CB,01 Belshazar.flac,c3d7d7036789a924b43ea014f3f9e7de,3,1,207.72,03:27:720,-22.630701292626743,-19.421193431298622,-18.890128487317636,-0.5310649439809865,0.07148702442646027,0.1075778380036354,0.10320363193750381,0.004374206066131592,-0.11383985448819516,1183.7220946342773
