,BS11,CAR,ATWR,TGBT,FTR,CB
BS11,1.0,0.9999994,0.9772218,0.97065264,0.947897,0.94695187
CAR,0.9999994,1.0000001,0.97700524,0.970417,0.94757247,0.9466238
ATWR,0.9772218,0.97700524,1.0000001,0.9987886,0.993454,0.99309856
TGBT,0.97065264,0.970417,0.9987886,0.99999994,0.9952455,0.9949549
FTR,0.947897,0.94757247,0.993454,0.9952455,1.0,0.9999935
CB,0.94695187,0.9466238,0.99309856,0.9949549,0.9999935,1.0000001
