label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,21 - Bob Dylan & The Band - Bourbon Street.wav,fda9e30a4bcf47b547e82e32eca8a442,4,21,304.82666666666665,05:04:827,-17.368766660171605,-17.194809146474256,-16.992730874511974,-0.20207827196228223,0.12675565481185913,0.1311526894569397,0.1291375607252121,0.0020151287317276,0.8820444136279946,2473.1660424799734
CAR,04-21-Bob_Dylan-Bourbon_Street-SMR.flac,03b0c776e09bd6f079765b95fb3b2d64,4,21,304.6352380952381,05:04:635,-17.37007599035581,-17.194835207529742,-16.99273378053009,-0.2021014269996506,0.12682734429836273,0.13122662901878357,0.1292109191417694,0.00201570987701416,0.8820401163418591,2470.958983482481
ATWR,11 Bourbon Street.flac,f46890e76d728866630eecf2b37f9ab8,3,11,147.08,02:27:080,-20.248853402997366,-19.5491788517649,-20.857006673787776,1.307827822022876,0.07756561040878296,0.08564286679029465,0.07061196863651276,0.015030898153781891,0.9653187100303142,2302.747466500776
TGBT,4-02 Bourbon Street.flac,2633ef612d673d2bc158971d6ef16134,4,2,145.17333333333335,02:25:173,-21.489846076462037,-22.145028004734236,-20.56788534409828,-1.5771426606359569,0.07045648247003555,0.06573357433080673,0.07719957083463669,-0.011465996503829956,0.9419228551337628,1630.9619064662768
FTR,16. Bourbon Street.flac,1f66424ff1178a421c4c390ef1bea11d,4,16,142.82666666666665,02:22:827,-26.362432779134462,-27.078120442385018,-24.470387202829606,-2.6077332395554116,0.040367644280195236,0.037280309945344925,0.04815413057804108,-0.010873820632696152,0.8015460153526215,1556.926418992503
CB,16 Gimme Another Burbon Street.flac,ddf14c3ef653309045bebea59585a6d7,0,0,144.14666666666668,02:24:147,-26.351094834561668,-27.06252766313886,-24.4862589334605,-2.5762687296783575,0.040331728756427765,0.03727281093597412,0.04805777221918106,-0.01078496128320694,0.8031732163880083,1563.6809977688179
