label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
DITB,16 Be My Baby (Tiny Tim).flac,77cb650fefff255f8f10048a95b22d4e,1,16,0.0,05:45:080,1.0,1.0,1.0,0.25413751256480666,1.0,1.0,1.0,0.0034279972314834595,0.5196828534706388,0.0
FTR,Track No20.flac,f3a05268adebfb28cdde38b9158c2173,6,20,0.9215587044534416,06:09:360,0.003148706483790192,0.019178606789549874,0.0032608479036912944,2.676022745391837,0.0015679828262680426,0.004657617043758445,0.002674540216195184,0.030552051961421967,-0.11142865414736926,1.0
CB,20 Be my Baby (Tiny Tim Vocal).flac,b5b05cd88b23ae2a5b13ab4df5c23cc2,6,20,1.0,06:11:427,0.0,0.0,0.0,2.6633050960428086,0.0,0.0,0.0,0.030515767633914948,-0.1106194161681011,0.9975214317695414
