label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,rms,spectral_centroid
BS11,02 - Bob Dylan & The Band - My Bucket's Got A Hole In It.wav,b3d44c5d404b4f41e817e37063afe89b,1,2,0.0,01:34:506,0.0,1.0,1.0
CAR,01-02-Bob_Dylan-My_Bucket_s_Got_a_Hole_in_It-SMR.flac,17a5c30864b23ef047d4b28e68778ab4,1,2,1.0,01:34:573,1.0,0.0,0.0
