,BS11,CAR,ATWR,TGBT,FTR,CB
BS11,0.9999999,0.99999976,0.97240746,0.9721927,0.97067434,0.9655754
CAR,0.99999976,0.9999998,0.9725509,0.9723507,0.9708171,0.9657362
ATWR,0.97240746,0.9725509,1.0000001,0.9953269,0.99913114,0.9988918
TGBT,0.9721927,0.9723507,0.9953269,1.0,0.99317473,0.9938783
FTR,0.97067434,0.9708171,0.99913114,0.99317473,1.0000001,0.99966735
CB,0.9655754,0.9657362,0.9988918,0.9938783,0.99966735,0.9999999
