label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,04 - Bob Dylan - Down On Me.wav,93e07021ee0d32a1b385a6b2afa7476a,3,4,42.88,00:42:880,-16.09816838494662,-16.45920820618513,-15.31407342317423,-1.145134783010901,0.13504309952259064,0.1305764615535736,0.1460690051317215,-0.015492543578147888,0.9010691119336904,2451.625323756019
CAR,03-04-Bob_Dylan-Down_on_Me-SMR.flac,9f5d114741370811e55baeb4d8d3786f,3,4,42.904331065759635,00:42:904,-16.103316785670106,-16.46483143053893,-15.31884912174172,-1.1459823087972083,0.13496829569339752,0.13050371408462524,0.1459869146347046,-0.015483200550079346,0.901068875654888,2059.7367665234683
ATWR,07 Down On Me.flac,91e42b74a016b5dc397aec8198fd1673,1,7,40.42666666666667,00:40:427,-26.56639401994664,-22.61789884448714,-20.604925870631213,-2.012972973855927,0.04069921374320984,0.06783471256494522,0.08141621947288513,-0.013581506907939911,-0.4280153317156028,1791.6845090987458
TGBT,03 Down On Me.flac,d1f4efc3459d4accec33fa8fd756fc36,1,3,40.266666666666666,00:40:267,-25.82182803153299,-19.151794870164775,-24.912886519204285,5.7610916490395105,0.042891889810562134,0.09372075647115707,0.04855849966406822,0.04516225680708885,-0.42722848599793994,2180.695117859508
FTR,09. Down on Me.flac,3199653c997fb2f3ae3e2f6ee7626278,1,9,39.42666666666667,00:39:427,-27.12446717530162,-23.164442909601956,-21.16177523681793,-2.0026676727840247,0.038879312574863434,0.06486889719963074,0.07768350094556808,-0.012814603745937347,-0.42783710053545565,1853.9396214632661
CB,09 Down on me (frag).flac,4f55ea923e7663a52e27f22573b41b70,1,9,40.64,00:40:640,-27.118628031958455,-23.170585026363245,-21.154515439563944,-2.0160695867993006,0.03769177943468094,0.06287653744220734,0.0752616673707962,-0.012385129928588867,-0.4277812622102784,2051.5837234995074
