label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,18 - Bob Dylan & The Band - Cool Water.wav,d0081006d45e14a38c07bde769fbd79c,1,18,183.66666666666666,03:03:667,-17.366019681446215,-17.17648645619656,-16.96955723855927,-0.20692921763729188,0.13452289998531342,0.1334172934293747,0.14227433502674103,-0.008857041597366333,0.8987085483256543,1976.2217719516957
CAR,01-18-Bob_Dylan-Cool_Water-SMR.flac,91109d8b048f534591a0476827758a71,1,18,183.64081632653063,03:03:641,-17.365661663224756,-17.17589509712952,-16.96933708984227,-0.20655800728724927,0.13453799486160278,0.13343170285224915,0.14229068160057068,-0.008858978748321533,0.8987087193772723,1879.6973007705462
ATWR,08 Cool Water.flac,974249858a108a44d95ad480b5cd4aee,2,8,178.86666666666667,02:58:867,-21.67655142329787,-17.79429530722363,-15.689828928145277,-2.104466379078355,0.07170583307743073,0.11736730486154556,0.13783375918865204,-0.020466454327106476,-0.41408469409396714,1791.5219260952497
TGBT,20 Cool Water.flac,35c682ed105cc365653dddb1d5a298bf,5,20,178.90666666666667,02:58:907,-23.48877347205128,-19.18975038998347,-18.321703187821978,-0.8680472021614918,0.05496538057923317,0.09867541491985321,0.09680936485528946,0.0018660500645637512,-0.40726765629691924,1933.826208697673
FTR,14. Cool Water.flac,f120a630bb0bc93e31e7ee74270b9a54,2,14,179.34666666666666,02:59:347,-22.79364723271086,-16.366693302146405,-20.823575071902717,4.456881769756311,0.05807596445083618,0.12242500483989716,0.07715952396392822,0.04526548087596893,-0.42359681762290385,1620.781509260967
FTR,22. Cool Water.flac,9f713be40574027dfff19c6409663795,2,22,178.85333333333332,02:58:853,-23.484155777931246,-19.205661260662865,-18.32844261718292,-0.8772186434799458,0.0549774132668972,0.09869851171970367,0.09682969003915787,0.0018688216805458069,-0.4072670508165263,1933.174890677458
CB,16 Cool Water.flac,e8053b345275ff14dd49f756ec68c749,2,16,179.34666666666666,02:59:347,-22.79860964438713,-16.36736948120055,-20.82556124257044,4.458191761369889,0.05809223651885986,0.12246217578649521,0.07717227190732956,0.04528990387916565,-0.4235799012724959,1620.7477000570082
