label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,13 - Bob Dylan & The Band - Bells Of Rhymney.wav,9b313f3f8b02d839161f1d9f61945fac,1,13,0.9986635976674787,03:16:467,1.0,0.0012119187265694359,0.5733869945312898,0.2611064045870073,1.0,0.00024090787407126242,0.25427498549977656,0.013804182410240173,0.9085591349455742,1.0
CAR,01-13-Bob_Dylan-Bells_of_Rhymney-SMR.flac,a0f98d183f85b43f6f769b0901072a31,1,13,1.0,03:16:477,0.9983047716222184,0.0,0.5742901136943499,0.254901096906039,0.9996148001181984,0.0,0.2537795473266649,0.013801470398902893,0.9085577651038474,0.7630404925873633
ATWR,18 Bells of Rhymney.flac,f10fe5124bb59692384c86478d8a0882,2,18,0.3529912183584878,03:11:613,0.0,0.09990336013760914,1.0,-0.38984531420935653,0.0,0.20154415183127708,1.0,0.008647069334983826,-0.07867004154754514,0.12752896380122797
TGBT,10 Bells Of Rhymney.flac,b95f01d4242cf2d1b5b39101e2e033ce,5,10,0.18270399744183038,03:10:333,0.08190910673355817,0.44160608771567095,0.4187143341693809,2.1149079841543514,0.1655692707393919,0.6825234865665243,0.01595057871040906,0.05821627378463745,-0.039065963660685654,0.015215229996305903
FTR,09. Bells of Rhymney.flac,5e4068686f0bc1a7b5cc2b679f087062,3,9,0.0,03:08:960,0.497168766249592,1.0,0.011780112696599874,4.952793773880098,0.36027150115703876,1.0,0.04756006688415337,0.0756930410861969,-0.05627577828618784,0.44708817475966134
FTR,26. Bells Of Rhymney.flac,00087c529a528f8180e4cbc62af9a930,3,26,0.12416776525172975,03:09:893,0.0801498584012643,0.44286786043794674,0.41871876718321727,2.119184571025251,0.17357332133441297,0.6895834401072066,0.02900577411881593,0.05832850933074951,-0.03907430094966255,0.0
CB,09 Bells of Rhymney.flac,361bd6d646223c2df6a63d2f9aee332b,3,9,0.4274918775095256,03:12:173,0.48996092085763776,0.9938847290933754,0.0,4.959250836415199,0.3180964314085172,0.9557013085772309,0.0,0.07422000169754028,-0.05604781147433612,0.41927681465197153
