,BS11,CAR,ATWR,TGBT,FTR,FTR,CB
BS11,0.9999999,0.9999998,0.97619075,0.97518563,0.97116905,0.97520685,0.97112936
CAR,0.9999998,1.0000001,0.97612864,0.97516245,0.97110605,0.97518367,0.9710662
ATWR,0.97619075,0.97612864,1.0,0.99479383,0.9969709,0.99479955,0.99698335
TGBT,0.97518563,0.97516245,0.99479383,1.0000001,0.99366516,1.0,0.99365866
FTR,0.97116905,0.97110605,0.9969709,0.99366516,1.0000001,0.9936745,0.9999998
FTR,0.97520685,0.97518367,0.99479955,1.0,0.9936745,1.0000001,0.9936679
CB,0.97112936,0.9710662,0.99698335,0.99365866,0.9999998,0.9936679,0.9999999
