label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,07 - Bob Dylan & The Band - You Win Again.wav,b1477a52ab93a07418c3f5652bf4a35a,1,7,1.0,02:43:319,1.0,6.247890469504852e-05,0.0,-1.456636781885564,1.0,0.0002580661579834098,7.61545659073654e-05,-0.00963623821735382,0.8670476868762993,1.0
CAR,01-07-Bob_Dylan-You_Win_Again-SMR.flac,a684a6e6985a9fa74926ffaf39c96a68,1,7,0.9998533896317221,02:43:319,0.9999576681292436,0.0,0.002998143370044332,-1.4591523407207738,0.9998165341217797,0.0,0.0,-0.009638629853725433,0.8670543355286943,0.5561966386832856
ATWR,12 You Win Again.flac,d553c39ba4cd3b4a1bc507ce4c6f01e1,2,12,0.0,02:41:000,0.0,1.0,1.0,-0.4710112310204231,0.0,1.0,1.0,-0.022991344332695007,-0.09092014964769413,0.0
