label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,26 - Bob Dylan & The Band - Don't You Try Me Now.wav,768917cedec360ba4bdbd56ce105d43f,2,26,1.0,03:11:840,1.0,0.9630640146004633,0.7744503214474325,-0.33408503299985526,0.9971578361889597,0.9940610628983996,0.7162404857958262,0.0012969300150871277,0.9181393290241867,1.0
CAR,02-26-Bob_Dylan-Don_t_You_Try_Me_Now-SMR.flac,b4008af7350df1eca3781cb4d016e216,2,26,0.8935474189675898,03:11:599,0.9999198314088158,0.9641887191147739,0.7748160318312549,-0.33399317341012136,1.0,1.0,0.7189008770887726,0.0012985318899154663,0.9181371680269793,0.9411259879163073
ATWR,09 Don't You Try Me Now.flac,9954d76fa7f0b4108cd74856c071a44e,1,9,0.5294117647058868,03:10:773,0.6591116374525386,1.0,1.0,-1.2975963078648292,0.5738424831937317,0.741705039740987,1.0,-0.020372070372104645,0.19412143865873785,0.0
TGBT,18 Don't You Try Me Now.flac,bdaeb2e792ac4b10eb4a4a620742e4a9,1,18,0.0,03:09:573,0.0,0.0,0.0,1.6752012530651896,0.0,0.0,0.0,0.01577822118997574,0.16635804444428848,0.21836356257495293
FTR,05. Don't You Try Me Now.flac,8cdd0426411c2bcd4298f727fb307b17,1,5,0.7235294117647082,03:11:213,0.5335531838554414,0.6187508182952597,0.8728904418898775,-1.3145128613109023,0.4440167661781019,0.4270154098691578,0.8346963310743228,-0.019132159650325775,0.19452495241409135,0.295791012071219
CB,05 Don't You Try me Now.flac,3d19cbd6d439b9a5c0537c8c41a483b8,1,5,0.7235294117647082,03:11:213,0.5349521057572956,0.6213187005782697,0.8724177988485039,-1.308384552887425,0.44388749577342307,0.42657149298103636,0.8345660351328225,-0.019136011600494385,0.19452981316165568,0.29944339990478647
