label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,13 - Bob Dylan - Crash On The Levee (Take 1).wav,b311f286756384349a93e280c22d6707,3,13,130.50666666666666,02:10:507,-16.77604176069669,-16.970286201662127,-16.280459864863822,-0.6898263367983049,0.13338075578212738,0.13914839923381805,0.13010042905807495,0.009047970175743103,0.9408657214327028,2037.5843860634504
CAR,03-13-Bob_Dylan-Crash_on_the_Levee_Take_1-SMR.flac,541b04c4b8750a7b5a5a84c38d6bf5d5,3,13,130.51172335600907,02:10:512,-16.769796845175957,-16.97340537421433,-16.290100883300735,-0.6833044909135957,0.13335315883159637,0.13911692798137665,0.13007572293281555,0.009041205048561096,0.9408607659613419,1895.568424315037
ATWR,18 Crash On The Levee - Take 1.flac,97b38608596f46036d3a6c4d0d3d6fd6,3,18,130.86666666666667,02:10:867,-16.957075130774367,-15.971993775811445,-17.712092746671246,1.7400989708598011,0.12186934798955917,0.1440911442041397,0.10286523401737213,0.04122591018676758,0.9162227756255634,1741.669176593938
SBD,04 Crash On The Levee.flac,09ee96617bc692e8789b01a2b9071e72,2,4,127.2,02:07:200,-14.825571875701284,-13.600001177527105,-15.854992024155129,2.254990846628024,0.1611972600221634,0.19524264335632324,0.13134382665157318,0.06389881670475006,0.9156995993429541,1589.6826082013413
TGBT,06 Crash On The Levee (Version 1).flac,a174df50042f54cc7603ee8e587164d6,3,6,131.93333333333334,02:11:933,-14.899731148141298,-14.920134586178618,-14.874007523712026,-0.04612706246659215,0.1595674306154251,0.15861397981643677,0.16055700182914734,-0.0019430220127105713,0.9994866817911796,2286.359121627925
FTR,05. Crash on the Levee.flac,ca6730c49a66f72d89460546e589618f,5,5,127.34666666666666,02:07:347,-21.857117874746397,-20.849417803541197,-17.59270690468771,-3.2567108988534876,0.07714343816041946,0.09131567925214767,0.11457478255033493,-0.023259103298187256,0.012115496659831238,1422.5453039810618
CB,05 Down in the Flood (new).flac,488549be4eacd3a428f6db0a4dd394d8,5,5,127.34666666666666,02:07:347,-21.8638723659592,-20.83936243301765,-17.59276931255606,-3.24659312046159,0.07714821398258209,0.09131596982479095,0.11457640677690506,-0.023260436952114105,0.012115063677333717,1422.040899723866
