,BS11,CAR,ATWR,TGBT,FTR,FTR,CB
BS11,1.0000002,0.99999976,0.99080664,0.9965558,0.9585222,0.99825275,0.95264125
CAR,0.99999976,1.0,0.9909018,0.99659306,0.95873994,0.99827236,0.9528744
ATWR,0.99080664,0.9909018,1.0,0.99672425,0.98483914,0.99475956,0.9814273
TGBT,0.9965558,0.99659306,0.99672425,0.99999994,0.97023964,0.99941814,0.96531683
FTR,0.9585222,0.95873994,0.98483914,0.97023964,1.0,0.96561384,0.999784
FTR,0.99825275,0.99827236,0.99475956,0.99941814,0.96561384,1.0,0.9601915
CB,0.95264125,0.9528744,0.9814273,0.96531683,0.999784,0.9601915,0.9999999
