,BS11,CAR,ATWR,TGBT,FTR,CB
BS11,1.0000002,0.9999986,0.9878131,0.9812512,0.98567337,0.9856566
CAR,0.9999986,1.0,0.9875803,0.98092484,0.9854147,0.98539776
ATWR,0.9878131,0.9875803,1.0,0.99527335,0.9998709,0.9998691
TGBT,0.9812512,0.98092484,0.99527335,0.9999998,0.99601185,0.9960214
FTR,0.98567337,0.9854147,0.9998709,0.99601185,1.0000001,1.0000001
CB,0.9856566,0.98539776,0.9998691,0.9960214,1.0000001,0.99999994
