label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,rms,spectral_centroid
BS11,04 - Bob Dylan & The Band - Mr. Blue.wav,b085207d587f87e9707a8c75dab60e40,1,4,0.0,01:52:013,0.0,1.0,1.0
CAR,01-04-Bob_Dylan-Mr_Blue-SMR.flac,898aec7e313903bef60813d3ea259926,1,4,1.0,01:52:028,1.0,0.0,0.0
