,BS11,CAR,ATWR,SBD,TGBT,FTR,CB
BS11,1.0000002,1.0000001,0.97495866,0.97900754,0.97648656,0.97032714,0.9703161
CAR,1.0000001,1.0,0.97492546,0.9789624,0.97646606,0.97028804,0.970277
ATWR,0.97495866,0.97492546,0.99999976,0.9978091,0.99677014,0.9995322,0.99953103
SBD,0.97900754,0.9789624,0.9978091,1.0,0.9921949,0.9971761,0.9971701
TGBT,0.97648656,0.97646606,0.99677014,0.9921949,1.0000001,0.9965132,0.9965161
FTR,0.97032714,0.97028804,0.9995322,0.9971761,0.9965132,1.0000001,1.0000001
CB,0.9703161,0.970277,0.99953103,0.9971701,0.9965161,1.0000001,1.0000002
