label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
DITB,11 Instrumental #3.flac,496a7a93a591048d1a4dc9404a4efd93,1,11,0.0,00:38:987,1.0,1.0,1.0,-1.1940216608789633,1.0,1.0,1.0,-0.05125062167644501,0.1018751128219178,1.0
FTR,Track No10.flac,c558b8a1c1f9ac6ec1e40b4acb540c3a,6,10,1.0,00:47:013,0.0,0.0,0.0,11.173912547023562,0.0,0.0,0.0,0.023970739915966988,0.07756589826724417,0.0
