,BS11,CAR,ATWR,TGBT,FTR,CB
BS11,0.99999976,0.9999981,0.9974533,0.9935363,0.98445016,0.9841724
CAR,0.9999981,0.9999999,0.99743545,0.9934863,0.9841714,0.9838919
ATWR,0.9974533,0.99743545,0.9999998,0.99838245,0.9878858,0.9877177
TGBT,0.9935363,0.9934863,0.99838245,0.99999994,0.99020064,0.9901456
FTR,0.98445016,0.9841714,0.9878858,0.99020064,0.99999994,0.9999977
CB,0.9841724,0.9838919,0.9877177,0.9901456,0.9999977,0.9999999
