,BS11,CAR,ATWR,TGBT,FTR,FTR,CB
BS11,1.0,0.9999997,0.9877695,0.9952319,0.99569744,0.99546075,0.994586
CAR,0.9999997,1.0,0.9877363,0.99524313,0.99567676,0.9954717,0.99457085
ATWR,0.9877695,0.9877363,1.0000001,0.99600965,0.9953597,0.99597335,0.99589485
TGBT,0.9952319,0.99524313,0.99600965,1.0000001,0.9968863,0.99999005,0.99754953
FTR,0.99569744,0.99567676,0.9953597,0.9968863,0.9999998,0.99706334,0.99941474
FTR,0.99546075,0.9954717,0.99597335,0.99999005,0.99706334,1.0,0.9976023
CB,0.994586,0.99457085,0.99589485,0.99754953,0.99941474,0.9976023,0.9999998
