,BS11,CAR,ATWR,TGBT,FTR,CB
BS11,0.99999994,0.9999999,0.98734397,0.9917089,0.98453283,0.9845235
CAR,0.9999999,0.99999994,0.9872835,0.99166524,0.9844674,0.9844579
ATWR,0.98734397,0.9872835,0.9999999,0.9973722,0.9992017,0.9991981
TGBT,0.9917089,0.99166524,0.9973722,1.0,0.99620837,0.99620354
FTR,0.98453283,0.9844674,0.9992017,0.99620837,1.0000001,1.0
CB,0.9845235,0.9844579,0.9991981,0.99620354,1.0,1.0
