label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,08 - Bob Dylan & The Band - Still In Town.wav,5597979c798ecb96dd0428dab372d50a,1,8,0.7369260567392351,03:04:453,1.0,1.0,0.00013065356417225546,0.5183893427210684,1.0,1.0,0.001274598667616117,0.018005654215812683,0.9023988358209996,1.0
CAR,01-08-Bob_Dylan-Still_in_Town-SMR.flac,926f2e7eae3a296b80403112b34ea57b,1,8,1.0,03:04:505,0.999950419787183,0.9999408553022221,0.0,0.5184733324901565,0.9988240414622378,0.9988402983235326,0.0,0.017999254167079926,0.9023942393105593,0.0
ATWR,13 Still In Town Still Around.flac,6d80c66f236db5414066232b11e82eca,2,13,0.0,03:04:306,0.0,0.0,1.0,-2.9805504057075893,0.0,0.0,1.0,-0.04864185303449631,-0.04405322801164372,0.3691258600803042
