label,orig_file,disc,track,duration_sec,duration_fmt,loudness,rms,spectral_centroid
HHBST,08 you ain't going nowhere.flac,1,8,0.9021525967284227,02:45:466,1.0,1.0,0.6679441322024221
TBT,Dylan & Band - Safety Tape_Track08.flac,1,8,0.0,02:41:919,0.8223213748401527,0.9238479606635561,0.0
CBST,08 You Ain't Goin' Nowhere.flac,1,8,1.0,02:45:851,0.0,0.0,1.0
