label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,rms,spectral_centroid
HHBST,08 you ain't going nowhere.flac,5038ca1a0ca8959dd430d9bccbdb9d9b,1,8,165.46666666666667,02:45:466,-18.376982988703862,0.11088784039020538,2168.065541743044
TBT,Dylan & Band - Safety Tape_Track08.flac,26b51386f50c7ca8ad26b414ab9da24e,1,8,161.92,02:41:919,-18.861611854367858,0.10912618786096573,1770.9434317537805
CBST,08 You Ain't Goin' Nowhere.flac,079ddac644de299bc4433f07699ee8f3,1,8,165.85133786848073,02:45:851,-21.104541608813644,0.08775448054075241,2365.4873327232026
FTR,20. You Ain't Going Nowhere.flac,ad035069f5990e1d9a1b4b3ccee70625,4,20,161.73333333333332,02:41:733,-30.075061360252267,0.027032623067498207,1803.8521421221612
