label,orig_file,md5,disc,track,duration_sec,duration_fmt,loudness,loudness_left,loudness_right,loudness_balance,rms,rms_left,rms_right,rms_balance,lr_corr,spectral_centroid
BS11,14 - Bob Dylan - Crash On The Levee (Take 2).wav,a50dd5e70b107e68e814de660d42d9d2,3,14,125.72,02:05:719,-16.116599931634177,-15.86084673185169,-15.797077175471296,-0.06376955638039483,0.1411183774471283,0.1550562083721161,0.13260258734226227,0.02245362102985382,0.8808588890028474,2024.1822335366571
CAR,03-14-Bob_Dylan-Crash_on_the_Levee_Take_2-SMR.flac,0aa782abca4f3b5d496fb251fb849a29,3,14,125.71131519274377,02:05:711,-16.126426988799953,-15.864041322509076,-15.80371432307687,-0.06032699943220621,0.1411244124174118,0.1550651639699936,0.13260705769062042,0.02245810627937317,0.8808588389600843,1879.5689806292708
ATWR,19 Crash On The Levee - Take 2.flac,3065b0534458c4d6b93190baf7d112ff,3,19,126.29333333333334,02:06:293,-18.26650632112337,-17.435907716564586,-18.562540952161548,1.1266332355969624,0.11087873578071594,0.12878921627998352,0.09747578948736191,0.03131342679262161,0.8706566632578576,1731.2080806280753
MUTM,05 Down In The Flood.flac,480b86a67a278f4091862f51295faada,1,5,123.61333333333333,02:03:613,-19.2915504333533,-15.885067274945857,-16.187588482107287,0.30252120716142983,0.10309568047523499,0.11490150541067123,0.15451061725616455,-0.03960911184549332,0.004882980611851448,1658.960424064801
