song_label,ref_label,cmp_label,tuning_cents_cmp,tuning_cents_ref,delta_tuning_cents,semitone_shift_vs_ref,chroma_similarity,speed_factor_from_pitch,duration_ratio_ref_over_cmp
cotl_t2,BS11,BS11,-19.0,-19.0,0.0,0,0.9999999403953552,1.0,1.0
cotl_t2,BS11,CAR,-21.000000000000004,-19.0,-2.0000000000000036,0,0.9927828907966614,1.0,1.000069085326511
cotl_t2,BS11,ATWR,-9.999999999999998,-19.0,9.000000000000002,0,0.9991284012794495,1.0,0.9954603040540541
cotl_t2,BS11,MUTM,24.0,-19.0,43.0,0,0.9922071695327759,1.0,1.017042390249164
cotl_t2,BS11,RSD,-21.999999999999996,-19.0,-2.9999999999999964,0,0.9922515153884888,1.0,0.9992606816363916
